region;Prix;Surface(m2);Proximiteplage;TitreFoncier;EauDisponible;electricite;Cloture;NbArbres;TypedeCulture;Irrigation;batiment;route
Hammam El Gheza;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1410000.0;2350.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;0;1;0;0;0;0;0;0;0;0
Kelibia;2132500.0;853.0;0;1;0;0;0;0;0;0;0;0
Menzel Bouzelfa;700000.0;30000.0;0;0;0;0;0;0;0;0;0;0
Zone Hoteliere;78000.0;312.0;1;1;1;1;0;0;0;0;0;0
Chorfech;450000.0;10000.0;0;0;0;0;0;0;0;0;0;0
El May;130000.0;35812.0;0;1;0;0;0;23;1;0;0;0
El May;134000.0;38222.0;0;0;0;0;0;0;1;0;0;0
El May;325000.0;26582.0;0;1;0;0;0;0;0;0;1;0
El Gobba;3750000.0;150000.0;0;0;0;0;0;5000;0;0;0;0
Hammam Jebli;1179100.0;907.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;962000.0;645.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;1260000.0;2100.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;672000.0;840.0;0;1;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;1;1;0;0;0;0;0;0;0;0
Hammam El Gheza;63000.0;1000.0;0;0;0;0;0;0;0;0;0;0
Naassen;2000000.0;40000.0;0;0;0;0;0;0;0;0;0;1
Sidi Messaoud;850000.0;850.0;0;0;0;0;0;0;0;0;0;1
Sidi Thabet;5500000.0;100000.0;0;0;0;0;0;0;0;0;1;0
Chatt Meriem;690000.0;2300.0;0;0;0;0;0;0;0;0;0;0
Kalaa Essghira;220000.0;3600.0;0;0;0;0;0;0;0;0;0;1
Bir El Mellouli;85000.0;40000.0;0;0;0;0;0;0;0;0;0;0
El Ain;80000.0;115002.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;500000.0;1600.0;0;0;0;0;1;0;0;0;0;0
Chatt Meriem;1000000.0;4000.0;0;0;0;0;0;0;0;0;0;0
Sousse Ezzouhou;330570.0;7346.0;0;0;0;0;0;0;0;0;0;0
Tamazrat;1000000.0;2000.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1586000.0;1220.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Kerkouane;960000.0;1600.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;920000.0;1150.0;1;1;0;0;0;0;0;0;0;0
Kelibia;1950000.0;780.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;2020000.0;2020.0;1;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;0;1;0;0;0;0;0;0;0;0
Hammamet;240000.0;240.0;0;0;0;0;0;0;0;0;0;0
Bou Achir;450000.0;450.0;0;0;0;0;0;0;0;0;0;1
Chatt Meriem;114070.0;1342.0;0;0;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
El Haouaria;90000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Dar Allouche;730400.0;913.0;1;1;0;0;0;0;0;0;0;0
Jardins d'el Me;11900000.0;4442.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;880000.0;4000.0;0;0;0;0;0;0;0;0;0;0
Bou Charray;500000.0;20650.0;0;0;0;0;0;0;0;0;1;1
Chorfech;880000.0;40000.0;0;0;0;0;0;0;0;0;0;0
Zaouiet El Mgai;14000.0;800.0;0;0;0;0;0;0;0;0;0;0
Tazarka;30000.0;2502.0;1;0;0;0;0;0;0;0;0;0
Ouriemma;420000.0;10000.0;0;0;0;0;0;130;1;0;0;0
Ezzahra;63000.0;234.0;1;1;0;0;0;0;0;0;0;0
Chatt Meriem;93600.0;234.0;0;0;0;0;0;0;0;0;0;0
El Kantaoui;170400.0;284.0;0;0;0;0;0;0;0;0;0;0
El Haouaria;320000.0;94002.0;0;0;0;0;0;0;0;0;0;0
Oued Ellil;625000.0;25002.0;0;0;1;0;1;0;1;0;0;0
Kalaa Essghira;375000.0;1500.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;330600.0;1653.0;0;1;0;0;0;0;0;0;0;0
Bou Achir;90000.0;5500.0;0;0;1;1;0;50;1;0;0;1
Ennagr;230000.0;1000.0;0;0;0;0;1;0;1;0;0;0
Kalaa El Kebira;300000.0;11000.0;0;1;0;1;0;66;1;0;1;0
Chatt Meriem;257000.0;3681.0;0;0;0;1;0;0;0;0;0;0
Hammamet;125000.0;10000.0;0;0;1;1;0;0;0;0;0;1
Hammamet;125000.0;10000.0;0;0;1;1;0;0;0;0;0;1
Chatt Meriem;273500.0;1094.0;0;0;0;0;0;0;0;0;0;0
Hammam El Gheza;180000.0;10000.0;0;1;0;0;0;0;0;0;0;0
Kelibia;63000.0;1000.0;1;1;0;0;0;0;0;0;0;0
Beni Khalled;850000.0;20800.0;0;0;0;0;0;0;0;0;1;1
Dar Allouche;730400.0;913.0;0;1;0;0;0;0;0;0;0;0
Tamazrat;1250000.0;2500.0;0;1;0;0;0;0;0;0;0;0
Hammam Jebli;1690000.0;1300.0;0;1;0;0;0;0;0;0;0;0
Ezzahra;795000.0;530.0;1;1;0;0;0;0;0;0;0;0
Oued Ellil;625000.0;25002.0;0;0;1;0;1;0;0;0;0;0
Chatt Meriem;623220.0;3666.0;0;1;0;0;0;0;1;0;0;0
Chatt Meriem;84000.0;194.0;0;0;0;0;0;0;0;0;0;0
Kalaa El Kebira;443840.0;1464.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;303660.0;1650.0;0;1;0;0;0;0;0;0;0;0
Chatt Meriem;158000.0;3162.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;90000.0;905.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;585000.0;3900.0;0;0;0;0;0;0;0;0;0;0
Chatt Meriem;564250.0;2257.0;0;0;0;0;0;0;0;0;0;0
Bousehem;600000.0;40190.0;0;0;0;0;0;0;0;0;0;0
Bir Drassen;1750000.0;140000.0;0;0;0;0;0;0;1;0;1;0
Sidi Bou Ali;390000.0;14000.0;0;0;0;0;0;20;0;0;0;0
Sidi Bou Ali;300000.0;14252.0;0;0;1;0;0;0;1;0;1;0
Borj El Amri;310000.0;30000.0;0;1;0;1;0;0;1;0;0;1
Kalaa El Kebira;387000.0;5529.0;0;1;0;0;0;0;0;0;0;0
Dar Allouche;672000.0;840.0;1;1;0;0;0;0;0;0;0;0
Kelibia;1735000.0;694.0;1;1;0;0;0;0;0;0;0;0
